English,Chinese
floor,地面
whether,无论
everything's,一切都是
present,展示
earth,地球
private,私人的
Jessica,杰西卡
box,盒子
Dawson,道森
cover,覆盖
judge,法官
upstairs,楼上
Alexis,alexis.
Shawn,肖恩
sake,清酒
mommy,妈妈
possibly,可能
worst,最糟糕的
